寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
2084.89,2139.99,2077.29,2113.65,349617.57,20222916800.0
2132.34,2177.39,2130.49,2177.15,448819.26,25188804800.0
2198.89,2286.9,2192.13,2274.84,574797.5,32308073600.0
2278.17,2315.13,2266.74,2284.27,623124.48,35182988800.0
2264.24,2296.92,2249.18,2249.18,506701.47,28511379200.0
2239.08,2298.79,2222.24,2298.79,497721.92,28706246400.0
2316.48,2335.97,2296.91,2310.4,574008.83,32679516800.0
2303.86,2329.39,2279.43,2327.49,560387.84,32680921600.0
2331.14,2340.09,2166.21,2174.42,667274.3,38903491200.0
2107.65,2233.89,2060.34,2222.05,547112.19,33174854400.0
2201.12,2234.22,2153.75,2155.49,480880.83,28375574400.0
2114.89,2139.4,2035.72,2039.4,418791.49,26016078400.0
1951.28,1959.06,1881.35,1882.46,272871.71,19382936000.0
1751.28,1801.79,1744.87,1749.07,287967.33,21874675200.0
1746.08,1806.15,1672.16,1695.76,432234.53,32672716800.0
1723.54,1752.21,1661.76,1752.21,361016.35,27196185600.0
1776.44,1848.96,1761.27,1846.83,424998.05,31598857600.0
1832.98,1832.98,1780.78,1790.31,365361.7,26670256000.0
1763.1,1763.1,1687.36,1707.78,305204.22,24629145600.0
1628.18,1739.56,1625.73,1673.95,325500.22,25917372800.0
1689.15,1736.24,1665.19,1677.33,299945.12,22854056000.0
1662.57,1744.68,1646.54,1741.54,260251.09,20042744000.0
1750.35,1809.02,1745.65,1798.84,431875.78,31192592000.0
1770.03,1802.22,1762.57,1770.38,311068.32,22531417600.0
1766.78,1793.94,1756.44,1781.35,263289.89,19046508800.0
1789.43,1794.41,1656.49,1662.89,307476.93,24088272000.0
1616.46,1649.59,1574.74,1580.26,233709.94,19821444800.0
1585.11,1689.72,1581.8,1683.36,284792.13,23480100800.0
1680.0,1729.22,1658.42,1658.42,360653.92,27371561600.0
1668.33,1689.03,1648.71,1679.09,254176.5,18768099200.0
1657.94,1739.05,1652.07,1738.64,313439.07,22716785600.0
1744.03,1770.24,1728.52,1750.91,367474.75,26389788800.0
1721.24,1756.45,1717.61,1736.44,321531.1,23184401600.0
1744.06,1764.64,1736.3,1757.54,319239.94,22149161600.0
1748.27,1759.55,1685.37,1697.11,312784.13,22674012800.0
1698.22,1738.92,1678.22,1737.92,238011.66,16402102400.0
1710.14,1732.53,1697.53,1711.71,251208.88,17448089600.0
1719.19,1727.65,1698.67,1716.78,214629.36,14980384000.0
1771.78,1797.85,1759.88,1785.39,328789.31,23068795200.0
1783.94,1819.17,1780.05,1811.63,340152.77,24188558400.0
1822.22,1903.46,1821.72,1887.28,489704.38,34134268800.0
1873.2,1911.87,1867.28,1907.12,431555.26,29515622400.0
1899.42,1916.42,1879.74,1884.16,438863.17,29610278400.0
1875.44,1941.28,1875.44,1941.28,463294.88,30849027200.0
1954.14,1968.38,1928.66,1966.96,534961.7,35729728000.0
1974.68,1986.23,1943.8,1969.64,543478.4,35436316800.0
1967.58,2008.48,1961.24,2008.48,521468.99,32894940800.0
2008.36,2018.98,1882.26,1889.13,653577.15,42174595200.0
1885.64,1961.6,1885.12,1959.19,517713.5,32683129600.0
1975.09,2024.41,1968.43,2016.74,615620.99,37897881600.0
2042.3,2048.84,2003.94,2030.48,652830.08,39154748800.0
2012.76,2054.94,1948.23,2043.78,584103.68,36633203200.0
2030.23,2057.18,1989.85,1998.38,554785.41,34152934400.0
2011.81,2035.23,1983.55,2014.4,455150.27,28180960000.0
2011.07,2042.68,1979.81,2014.86,495291.2,29633593600.0
1987.95,2047.54,1982.14,1987.97,458115.2,27469091200.0
1993.31,2008.36,1968.65,1987.47,381608.0,22405131200.0
1996.5,2089.29,1996.5,2089.29,567976.77,33943820800.0
2094.14,2123.87,2075.59,2093.47,694859.65,42913715200.0
2094.37,2154.96,2094.37,2152.43,630848.32,37737059200.0
2142.74,2203.66,2125.58,2191.6,732033.41,42223244800.0
2181.28,2222.89,2175.07,2209.6,695089.28,40091331200.0
2211.51,2254.67,2202.63,2253.21,673476.54,38212483200.0
2263.72,2279.85,2228.17,2259.49,748758.21,40354512000.0
2232.52,2245.26,2182.07,2205.56,669337.73,36299347200.0
2161.11,2250.98,2159.3,2250.98,539273.22,29240825600.0
2274.3,2289.14,2225.24,2231.18,750831.23,40349696000.0
2231.91,2246.36,2185.19,2189.88,550775.42,30614950400.0
2197.27,2257.21,2196.07,2257.21,531375.04,29446742400.0
2266.53,2296.15,2256.55,2285.83,665595.33,36472672000.0
2287.47,2310.75,2260.05,2268.62,658859.78,36238550400.0
2266.14,2300.09,2247.08,2300.09,530807.94,28393068800.0
2300.63,2346.37,2298.65,2343.62,639101.38,32541590400.0
2354.42,2358.34,2320.46,2325.69,680145.09,34966163200.0
2311.22,2324.06,2168.71,2184.11,678451.9,37147516800.0
2187.33,2212.95,2086.43,2203.61,596628.29,32521529600.0
2200.86,2226.69,2172.21,2198.28,512563.55,27022224000.0
2191.45,2197.94,2121.63,2189.31,469257.38,26399992000.0
2191.59,2243.94,2191.59,2243.94,456594.94,24953294400.0
2236.77,2260.42,2217.21,2233.26,503159.14,26807033600.0
2237.12,2263.43,2222.26,2261.41,470486.3,24767038400.0
2250.17,2252.25,2213.48,2221.27,490750.14,26104307200.0
2209.17,2230.78,2197.17,2214.21,450382.3,23296440000.0
2212.31,2236.51,2206.39,2211.86,449240.29,22863894400.0
2203.17,2215.4,2185.78,2195.86,387813.41,20466588800.0
2174.72,2239.68,2171.26,2239.68,393037.79,21494220800.0
2242.85,2273.14,2242.85,2264.72,438285.34,22829382400.0
2272.44,2295.1,2271.34,2280.12,462743.39,23545131200.0
2294.2,2342.18,2294.2,2342.18,614923.01,32853766400.0
2341.75,2350.7,2322.03,2335.6,593472.7,30575270400.0
2331.31,2361.51,2329.68,2357.99,544467.14,29849068800.0
2363.28,2379.63,2348.96,2379.63,513492.58,28839654400.0
2381.46,2386.31,2345.37,2351.06,576756.61,31225324800.0
2344.78,2352.81,2307.47,2346.37,434137.7,23255008000.0
2350.94,2366.06,2343.76,2359.73,409651.46,21433126400.0
2367.97,2377.2,2308.38,2308.38,528278.11,27978236800.0
2305.48,2330.35,2286.99,2330.35,408793.98,21500993600.0
2333.63,2352.87,2327.13,2351.35,455547.78,23173188800.0
2352.43,2356.9,2308.84,2308.91,432566.05,22226174400.0
2304.48,2304.49,2119.1,2119.16,355284.22,20485528000.0
2012.61,2121.39,2005.39,2079.77,483124.06,29429084800.0
2090.36,2133.96,2071.65,2133.96,414256.86,25349723200.0
2094.66,2094.66,1955.88,1958.09,107974.93,7166195200.0
2002.21,2021.7,1878.49,1978.72,437422.18,28514934400.0
1934.24,1958.92,1847.88,1848.1,377830.46,26129924800.0
1846.44,1879.2,1811.79,1855.39,326613.6,21763734400.0
1864.19,1880.62,1791.1,1791.18,310559.46,20894052800.0
