shanghai,shenzhen
2750.58,1292.8
2704.34,1290.62
2691.59,1264.58
2702.3,1276.45
2669.48,1294.22
2664.8,1306.31
2656.11,1351.09
2686.58,1351.0
2681.64,1346.19
2651.79,1340.37
2699.95,1333.98
2730.85,1328.19
2729.24,1361.74
2797.48,1383.92
2781.14,1378.36
2806.81,1398.4
2791.77,1410.18
2821.35,1417.43
2716.51,1378.92
2721.01,1386.43
2725.84,1385.84
2583.46,1335.15
2606.91,1330.93
2568.1,1336.68
2546.33,1355.38
2561.61,1325.43
2486.42,1337.74
2550.47,1381.55
2654.88,1387.49
2594.83,1380.78
2603.3,1350.75
2603.8,1350.7
2598.85,1332.53
2542.1,1343.9
2568.05,1346.03
2602.78,1360.92
2606.24,1327.42
2676.48,1323.31
2665.43,1312.55
2659.36,1294.49
2641.34,1297.1
2635.63,1284.66
2598.87,1295.72
2630.52,1285.19
2654.88,1279.79
2632.24,1264.23
2668.17,1267.87
2679.11,1256.39
2703.51,1246.36
2645.85,1279.49
2651.51,1301.41
2645.43,1299.89
2579.48,1306.95
2575.81,1303.48
2574.68,1313.36
2601.74,1303.75
2567.44,1323.16
2588.19,1321.52
2654.8,1309.14
2665.96,1322.14
2649.81,1330.17
2605.18,1314.58
2605.89,1316.28
2584.58,1322.3
2594.09,1319.97
2602.15,1314.99
2634.05,1300.34
2593.74,1283.71
2597.97,1274.74
2576.65,1309.99
2549.56,1347.94
2536.27,1364.15
2516.25,1389.68
2527.01,1398.84
2504.82,1389.47
2498.29,1440.95
2483.09,1443.6
2493.9,1448.24
2465.29,1444.35
2464.36,1477.25
2514.87,1557.27
2533.09,1549.71
2526.46,1540.92
2544.34,1546.33
2535.1,1564.84
2553.83,1599.48
2535.77,1635.98
2570.34,1660.41
2570.42,1668.53
2559.64,1605.28
2596.01,1667.82
2610.51,1695.81
2579.7,1656.54
2581.0,1618.26
2591.69,1641.37
2601.72,1685.79
2596.98,1688.76
2594.25,1684.57
2575.58,1697.49
2584.57,1700.94
2618.23,1676.43
2653.9,1639.94
2671.89,1654.69
2721.07,1639.72
2719.7,1695.14
2682.39,1755.67
2754.36,1757.6
2755.65,1772.09
2761.22,1780.02
2751.8,1770.2
2804.23,1783.01
2961.28,1779.28
2941.52,1740.37
2953.82,1738.52
2940.95,1723.91
2994.01,1760.02
3027.58,1772.71
3054.25,1762.3
3102.1,1778.81
3106.42,1751.91
2969.86,1728.86
3026.99,1747.88
3060.31,1688.25
3026.95,1665.8
2990.69,1625.62
3021.75,1636.59
3096.42,1515.8
3090.98,1540.31
3090.64,1530.31
3101.46,1510.72
3104.15,1568.62
3043.03,1551.75
2997.1,1542.07
3022.72,1577.92
2994.94,1584.81
3090.76,1533.22
3170.36,1521.72
3176.82,1548.68
3216.3,1540.85
3246.57,1503.37
3244.81,1496.03
3239.66,1533.52
3241.93,1541.65
3189.96,1541.66
3188.63,1532.03
3177.79,1531.86
3253.6,1515.89
3263.12,1494.15
3250.2,1494.77
3270.8,1463.7
3215.04,1483.23
3198.59,1538.23
3201.61,1528.4
3123.83,1532.79
3086.4,1505.06
3062.5,1502.12
3078.34,1504.57
2906.46,1526.77
2926.39,1556.6
2893.76,1577.44
2850.95,1576.09
2939.21,1560.46
2903.71,1560.51
2883.61,1577.56
2938.68,1562.42
2955.71,1616.55
2882.3,1619.12
2870.6,1600.02
2905.97,1591.24
2891.7,1601.2
2852.52,1554.8
2852.99,1558.11
2892.38,1550.87
2909.91,1548.93
2914.7,1556.77
2905.81,1572.34
2898.7,1571.81
2890.08,1574.35
2862.28,1548.64
2861.42,1560.27
2827.8,1532.43
2852.13,1545.87
2925.72,1562.97
2909.38,1572.8
2910.74,1573.45
2881.97,1574.95
2887.62,1582.07
2890.16,1571.3
2917.8,1563.06
2987.12,1539.86
3001.98,1517.27
3008.15,1490.3
2982.07,1483.95
2976.28,1498.95
2996.79,1479.86
2978.88,1508.99
3044.9,1498.63
3043.94,1509.0
3015.26,1517.07
3005.25,1525.48
3011.06,1571.97
2933.36,1574.12
2928.23,1572.62
2915.3,1578.91
2917.76,1578.7
2930.55,1566.57
2942.19,1595.82
2937.62,1593.82
2931.69,1591.08
2901.18,1579.25
2924.2,1614.92
2886.97,1625.56
2899.94,1636.4
2923.28,1651.63
2937.36,1657.5
2944.54,1689.21
2941.01,1687.31
2952.34,1671.54
2932.51,1681.23
2908.77,1685.09
2867.84,1651.35
2821.5,1655.61
2777.56,1672.63
2768.68,1675.35
2794.55,1660.06
2774.75,1665.56
2814.99,1638.77
2797.26,1597.72
2808.91,1612.26
2815.8,1595.21
2823.82,1598.64
2883.1,1609.1
2880.0,1631.84
2880.33,1636.96
2883.44,1660.33
2897.43,1641.95
2863.57,1635.65
2902.19,1635.92
2893.76,1616.72
2890.92,1614.87
2886.24,1631.22
2924.11,1618.4
2930.15,1616.33
2957.41,1632.4
2985.86,1658.24
2999.6,1642.68
3024.74,1628.62
3021.2,1616.19
3008.81,1637.0
3031.24,1646.7
3030.75,1655.6
2978.12,1641.23
2985.66,1651.77
2999.28,1648.68
3006.45,1611.44
2977.08,1614.19
2985.34,1614.3
2955.43,1624.13
2929.09,1605.7
2932.17,1617.19
2905.19,1646.8
2913.57,1635.16
2924.86,1631.24
2947.71,1607.51
2973.66,1600.45
3007.88,1605.64
2991.05,1602.0
2978.71,1597.85
2977.33,1593.1
2938.14,1596.6
2939.62,1605.33
2954.38,1608.52
2941.62,1626.97
2940.92,1640.33
2954.93,1640.51
2980.05,1646.82
2954.18,1639.5
2939.32,1636.33
2929.06,1660.55
2958.2,1686.41
2975.49,1708.78
2991.56,1709.44
2978.6,1713.03
2978.71,1700.29
2964.18,1667.71
2909.97,1690.74
2914.82,1697.21
2905.24,1709.45
2909.87,1697.91
2891.34,1713.51
2909.2,1722.94
2933.99,1756.16
2911.05,1760.85
2903.64,1768.68
2885.29,1791.85
2906.17,1769.58
2907.06,1800.64
2903.19,1797.88
2889.69,1822.35
2871.98,1818.13
2875.81,1814.21
2884.7,1811.57
2878.12,1806.28
2899.47,1829.95
2912.01,1806.54
2914.48,1819.61
2917.32,1756.81
2924.42,1609.0
2915.7,1638.02
2967.68,1678.64
2984.39,1727.24
3022.42,1736.17
3017.04,1757.26
3017.07,1758.02
3004.94,1785.33
2962.75,1771.61
2982.68,1779.43
2981.88,1835.96
3007.35,1856.56
3005.04,1846.4
3040.02,1886.14
3050.12,1907.35
3085.2,1933.36
3083.79,1943.17
3083.41,1890.6
3104.8,1895.13
3066.89,1801.75
3094.88,1869.65
3092.29,1888.92
3115.57,1895.74
3106.82,1929.44
3090.04,1915.17
3074.08,1842.66
3075.5,1887.34
3095.79,1859.4
3052.14,1818.56
3060.75,1798.98
2976.53,1712.02
2746.61,1704.74
2783.29,1678.25
2818.09,1682.93
2866.51,1704.46
2875.96,1631.88
2890.49,1666.22
2901.67,1714.86
2926.9,1701.15
2906.07,1693.35
2917.01,1657.55
2983.62,1665.93
2984.97,1660.08
2975.4,1697.55
3030.15,1689.57
3039.67,1743.37
3031.23,1740.65
3013.05,1755.37
2987.93,1721.22
2991.33,1707.46
2880.3,1745.42
2970.93,1736.13
2992.9,1744.39
3011.67,1750.28
3071.68,1767.86
3034.51,1753.42
2943.29,1771.8
2996.76,1763.03
