浠ｇ爜,鍚嶇О,鏃ユ湡,寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
399106.SZ,娣辫瘉缁兼寚,2008/2/22,1418.77,1420.29,1364.31,1382,53369.21,3130560000
399106.SZ,娣辫瘉缁兼寚,2008/2/25,1383.36,1391.38,1330.08,1331.23,43209.46,2543336200
399106.SZ,娣辫瘉缁兼寚,2008/2/26,1359.47,1372.79,1288.43,1322.32,45677.96,2538919400
399106.SZ,娣辫瘉缁兼寚,2008/2/27,1329.03,1356.89,1319.08,1355.31,38948.55,2291263400
399106.SZ,娣辫瘉缁兼寚,2008/2/28,1357.97,1368.47,1340.84,1356.61,40335.93,2268794400
399106.SZ,娣辫瘉缁兼寚,2008/2/29,1354.73,1373.95,1349.27,1373.89,39495.6,2297868200
399106.SZ,娣辫瘉缁兼寚,2008/3/3,1368.19,1410.7,1357.45,1410.58,58688.14,3413781200
399106.SZ,娣辫瘉缁兼寚,2008/3/4,1414.75,1423.25,1384.5,1388.46,65596.45,3919544400
399106.SZ,娣辫瘉缁兼寚,2008/3/5,1381.74,1391.73,1346.12,1380.89,58169.37,3570433200
399106.SZ,娣辫瘉缁兼寚,2008/3/6,1383.87,1400.79,1374.43,1388.1,64722.29,4097349200
399106.SZ,娣辫瘉缁兼寚,2008/3/7,1379.09,1391.14,1365.78,1369.84,45577.52,2763147000
399106.SZ,娣辫瘉缁兼寚,2008/3/10,1362.9,1362.9,1311.75,1319.01,41853.23,2517553600
399106.SZ,娣辫瘉缁兼寚,2008/3/11,1306.33,1324.38,1282.97,1324.38,36901.79,2165929800
399106.SZ,娣辫瘉缁兼寚,2008/3/12,1344.73,1351.98,1290.15,1290.75,38286.92,2287235000
399106.SZ,娣辫瘉缁兼寚,2008/3/13,1278.79,1283.81,1225.48,1248.19,43016.98,2679947000
399106.SZ,娣辫瘉缁兼寚,2008/3/14,1241.62,1253.68,1221.4,1237.3,28708.38,1786454200
399106.SZ,娣辫瘉缁兼寚,2008/3/17,1231.41,1231.41,1157.54,1158.89,34021.42,2257025400
399106.SZ,娣辫瘉缁兼寚,2008/3/18,1142.31,1161.28,1068.48,1082.28,36611.06,2550282400
399106.SZ,娣辫瘉缁兼寚,2008/3/19,1099.74,1142.08,1081.61,1120.04,44675.34,2933978000
399106.SZ,娣辫瘉缁兼寚,2008/3/20,1105.05,1166.76,1058.49,1156.68,50922.75,3334439000
399106.SZ,娣辫瘉缁兼寚,2008/3/21,1155.92,1183.27,1146.09,1173.14,45775.98,2916775600
399106.SZ,娣辫瘉缁兼寚,2008/3/24,1184.92,1192.51,1135.16,1135.16,41071.74,2676742400
399106.SZ,娣辫瘉缁兼寚,2008/3/25,1115.81,1158.09,1103.94,1150.47,36278.77,2370037800
399106.SZ,娣辫瘉缁兼寚,2008/3/26,1154.76,1176.2,1145.43,1153.64,34185.64,2107909400
399106.SZ,娣辫瘉缁兼寚,2008/3/27,1139.03,1140.12,1104.78,1105.12,35083.12,2309423200
399106.SZ,娣辫瘉缁兼寚,2008/3/28,1094.67,1141.14,1068.67,1139.73,40587.1,2725295000
399106.SZ,娣辫瘉缁兼寚,2008/3/31,1111.41,1128.99,1097.61,1098.49,30575.32,2108645600
399106.SZ,娣辫瘉缁兼寚,2008/4/1,1094.09,1103.9,1016.22,1018.03,36170.04,2562646800
399106.SZ,娣辫瘉缁兼寚,2008/4/2,1020.92,1034.51,970,980.28,35078.95,2594177000
399106.SZ,娣辫瘉缁兼寚,2008/4/3,971.76,1013.71,954.6,1005.89,29051.79,2181931400
399106.SZ,娣辫瘉缁兼寚,2008/4/7,995.04,1069.37,984.8,1067.63,37736.31,2636866200
399106.SZ,娣辫瘉缁兼寚,2008/4/8,1071.54,1099.22,1065.21,1087.86,43576.95,2923806800
399106.SZ,娣辫瘉缁兼寚,2008/4/9,1082.4,1103.58,1044.2,1044.2,39999.98,2861240000
399106.SZ,娣辫瘉缁兼寚,2008/4/10,1030.66,1067.04,1020.59,1067.04,32432.5,2328969000
399106.SZ,娣辫瘉缁兼寚,2008/4/11,1073.89,1089.13,1069.57,1077.02,29712.23,2112275400
399106.SZ,娣辫瘉缁兼寚,2008/4/14,1055.88,1055.88,1006.67,1009.16,32650.66,2377079200
399106.SZ,娣辫瘉缁兼寚,2008/4/15,1002.31,1028.77,981.77,1028.77,29620.51,2149638200
399106.SZ,娣辫瘉缁兼寚,2008/4/16,1024.74,1030.42,999.47,1004.18,25992.01,1865605200
399106.SZ,娣辫瘉缁兼寚,2008/4/17,1005.71,1021.18,958.05,971.66,27703.58,2062016000
399106.SZ,娣辫瘉缁兼寚,2008/4/18,964.17,969.27,930,930.63,23933.7,1920634000
399106.SZ,娣辫瘉缁兼寚,2008/4/21,992.21,993.59,911.96,921.72,36122.48,2781454800
399106.SZ,娣辫瘉缁兼寚,2008/4/22,907.12,919.64,871.34,915.74,27800.79,2258520200
399106.SZ,娣辫瘉缁兼寚,2008/4/23,910.59,963.58,904.79,960.21,33865.57,2741068800
399106.SZ,娣辫瘉缁兼寚,2008/4/24,1033.31,1045.76,1015.1,1043.8,73369.18,5561368400
399106.SZ,娣辫瘉缁兼寚,2008/4/25,1047.25,1086.24,1033.8,1058.42,75734.61,5315018800
399106.SZ,娣辫瘉缁兼寚,2008/4/28,1044.92,1059.7,1036.34,1045.03,48423.44,3391098400
399106.SZ,娣辫瘉缁兼寚,2008/4/29,1040.19,1063.28,1038.48,1055.8,42970.36,3056509800
399106.SZ,娣辫瘉缁兼寚,2008/4/30,1057.74,1100.14,1057.74,1097.76,63138.01,4368514400
399106.SZ,娣辫瘉缁兼寚,2008/5/5,1109.39,1131.4,1097.33,1129.99,64507.48,4528758800
399106.SZ,娣辫瘉缁兼寚,2008/5/6,1122.87,1137.14,1107.66,1122.65,61940.14,4333075200
399106.SZ,娣辫瘉缁兼寚,2008/5/7,1116.82,1129.55,1073.81,1073.81,59363.43,4128485600
399106.SZ,娣辫瘉缁兼寚,2008/5/8,1062.18,1102.52,1058.62,1102.52,45033.64,3223657000
399106.SZ,娣辫瘉缁兼寚,2008/5/9,1111.72,1117.22,1075.25,1097.42,59250.31,3983385600
399106.SZ,娣辫瘉缁兼寚,2008/5/12,1082.02,1123.03,1070.99,1111.97,54883.52,3771221600
399106.SZ,娣辫瘉缁兼寚,2008/5/13,1080.52,1122.99,1077.37,1109.9,64987.18,4716690800
399106.SZ,娣辫瘉缁兼寚,2008/5/14,1108.82,1139.09,1108.82,1139.09,63750.88,4457361200
399106.SZ,娣辫瘉缁兼寚,2008/5/15,1145.42,1155.68,1132.05,1133.14,59752.82,4139947200
399106.SZ,娣辫瘉缁兼寚,2008/5/16,1131.41,1140.88,1107.34,1124.29,49845.82,3384197200
399106.SZ,娣辫瘉缁兼寚,2008/5/19,1121.86,1128.11,1108.57,1120.24,37547.31,2641693000
399106.SZ,娣辫瘉缁兼寚,2008/5/20,1120.51,1127.3,1052.43,1057.88,49320.29,3480296000
399106.SZ,娣辫瘉缁兼寚,2008/5/21,1044.12,1084.25,1020.9,1079.55,48740.42,3715824000
399106.SZ,娣辫瘉缁兼寚,2008/5/22,1068.52,1085.22,1059.37,1063.85,46242.77,3463824800
399106.SZ,娣辫瘉缁兼寚,2008/5/23,1060.27,1070.23,1035.45,1052.03,39265.02,2987753400
399106.SZ,娣辫瘉缁兼寚,2008/5/26,1044.78,1044.78,1020.81,1021.57,35456.27,2681867400
399106.SZ,娣辫瘉缁兼寚,2008/5/27,1018.6,1034.35,1015.52,1031.04,27031.53,2069768400
399106.SZ,娣辫瘉缁兼寚,2008/5/28,1031.54,1062.07,1026.11,1056.54,35299.4,2493428800
399106.SZ,娣辫瘉缁兼寚,2008/5/29,1055.18,1058.12,1032.99,1033.69,33447.79,2478697200
399106.SZ,娣辫瘉缁兼寚,2008/5/30,1032.09,1041.99,1020.5,1036.99,31142.46,2322601200
399106.SZ,娣辫瘉缁兼寚,2008/6/2,1033.44,1046.82,1026.96,1039.61,29291.04,2274122800
399106.SZ,娣辫瘉缁兼寚,2008/6/3,1039.57,1043.54,1027.53,1034.59,29206.23,2260008000
399106.SZ,娣辫瘉缁兼寚,2008/6/4,1031.53,1032.46,1010.56,1021.36,27913.56,2175424400
399106.SZ,娣辫瘉缁兼寚,2008/6/5,1017.56,1020.72,1005.17,1011.62,23028.2,1888414400
399106.SZ,娣辫瘉缁兼寚,2008/6/6,1012.76,1018,1003.95,1009.11,23072.76,1813700400
399106.SZ,娣辫瘉缁兼寚,2008/6/10,970.55,970.55,924.65,928.2,28567.12,2394283400
399106.SZ,娣辫瘉缁兼寚,2008/6/11,911.66,916.94,892.19,903.03,26379.99,2275516400
399106.SZ,娣辫瘉缁兼寚,2008/6/12,897.98,907.28,872.92,891,27916.25,2325646000
399106.SZ,娣辫瘉缁兼寚,2008/6/13,891.1,897.32,854.88,855.8,22501.64,1997546600
399106.SZ,娣辫瘉缁兼寚,2008/6/16,853.6,861.57,826.41,840.05,22243.22,2064313800
399106.SZ,娣辫瘉缁兼寚,2008/6/17,837.49,847.97,796.89,801.97,23655.85,2257636000
399106.SZ,娣辫瘉缁兼寚,2008/6/18,796.44,847.82,774.78,843.19,33772.52,3234097800
399106.SZ,娣辫瘉缁兼寚,2008/6/19,836.65,836.65,778.66,780.56,30790.15,2849023800
399106.SZ,娣辫瘉缁兼寚,2008/6/20,783.36,824.83,754.63,794.75,34589.47,3363776400
399106.SZ,娣辫瘉缁兼寚,2008/6/23,784.88,796.65,775.68,779.93,21233.66,2058268600
399106.SZ,娣辫瘉缁兼寚,2008/6/24,776.81,805.87,775.69,801.5,23811.37,2336003000
399106.SZ,娣辫瘉缁兼寚,2008/6/25,800.23,839.91,798.35,839.7,33971.54,3293042000
399106.SZ,娣辫瘉缁兼寚,2008/6/26,837.68,854.87,829.4,846.83,36999.76,3508421600
399106.SZ,娣辫瘉缁兼寚,2008/6/27,821.16,823.67,787.06,795.86,33423.78,3197087000
399106.SZ,娣辫瘉缁兼寚,2008/6/30,785.96,803.02,777.89,793.13,20994.94,1947316000
399106.SZ,娣辫瘉缁兼寚,2008/7/1,794.41,797.57,773.52,776.67,21085.98,2004510000
399106.SZ,娣辫瘉缁兼寚,2008/7/2,777.79,793.65,773.12,784.89,21909.95,2071674600
399106.SZ,娣辫瘉缁兼寚,2008/7/3,774.61,822.5,765.78,811.76,37482.72,3506211600
399106.SZ,娣辫瘉缁兼寚,2008/7/4,808.4,819.48,800.12,807.19,31872.07,2952787400
399106.SZ,娣辫瘉缁兼寚,2008/7/7,807.82,846.95,807.82,846.95,40724.13,3869605600
399106.SZ,娣辫瘉缁兼寚,2008/7/8,850.19,859.47,836.1,857.4,44853.3,4183390000
399106.SZ,娣辫瘉缁兼寚,2008/7/9,860.76,885.01,860.76,885.01,51978.5,4986786400
399106.SZ,娣辫瘉缁兼寚,2008/7/10,874.86,895.08,866.66,870.01,52133.86,4882860800
399106.SZ,娣辫瘉缁兼寚,2008/7/11,866.01,873.24,847.61,860.22,37786.83,3570201600
399106.SZ,娣辫瘉缁兼寚,2008/7/14,853.37,873.32,850.44,871.3,32484.46,3045950400
399106.SZ,娣辫瘉缁兼寚,2008/7/15,874.15,878.73,840.13,843.23,40509.66,3867154400
399106.SZ,娣辫瘉缁兼寚,2008/7/16,834.46,835.35,795.49,808.01,33508.99,3365881200
399106.SZ,娣辫瘉缁兼寚,2008/7/17,817.96,828.37,796.08,800.46,28830.35,2801731600
399106.SZ,娣辫瘉缁兼寚,2008/7/18,805.87,826.23,787.76,824.68,29896.14,2848027800
399106.SZ,娣辫瘉缁兼寚,2008/7/21,821.53,854.92,816.52,852.77,35904.32,3445385600
399106.SZ,娣辫瘉缁兼寚,2008/7/22,853.81,861.58,849.33,854.83,33225.7,3301416800
399106.SZ,娣辫瘉缁兼寚,2008/7/23,857.98,861.95,845.47,846.1,32939.1,3199509000
399106.SZ,娣辫瘉缁兼寚,2008/7/24,849.57,868.14,849.57,866.64,36203.6,3531057600
399106.SZ,娣辫瘉缁兼寚,2008/7/25,859.48,868.97,854.06,860.69,34460.66,3338085600
399106.SZ,娣辫瘉缁兼寚,2008/7/28,864.86,874.34,864.86,869.12,33758.88,3295744400
399106.SZ,娣辫瘉缁兼寚,2008/7/29,860.68,860.68,849.41,855.84,30339.2,3048671800
399106.SZ,娣辫瘉缁兼寚,2008/7/30,863.34,867.17,846.05,852.52,26718.16,2679282600
399106.SZ,娣辫瘉缁兼寚,2008/7/31,853.85,855.91,827.57,827.59,24752.15,2532756000
399106.SZ,娣辫瘉缁兼寚,2008/8/1,822.71,841.67,810.2,835.68,25997.92,2675662000
399106.SZ,娣辫瘉缁兼寚,2008/8/4,830.32,833.92,814.56,815.81,20936.96,2038390000
399106.SZ,娣辫瘉缁兼寚,2008/8/5,814.88,819.78,788.64,790.71,24297.02,2440943800
399106.SZ,娣辫瘉缁兼寚,2008/8/6,794.17,799.71,778.74,790.65,22395.74,2209343400
399106.SZ,娣辫瘉缁兼寚,2008/8/7,789.42,797.37,781.4,791.92,18081.58,1814541800
399106.SZ,娣辫瘉缁兼寚,2008/8/8,792.14,792.2,747.19,747.34,23460.64,2464589800
399106.SZ,娣辫瘉缁兼寚,2008/8/11,743.76,743.76,695.88,698.37,20231.53,2316218400
399106.SZ,娣辫瘉缁兼寚,2008/8/12,689.32,701.7,684.22,694.29,17162.93,1996523200
399106.SZ,娣辫瘉缁兼寚,2008/8/13,690.5,703.65,672.25,697.15,18862.79,2169596800
399106.SZ,娣辫瘉缁兼寚,2008/8/14,693.41,703.7,689.51,698.68,15349.65,1702357000
399106.SZ,娣辫瘉缁兼寚,2008/8/15,697.66,706.22,689.21,697.13,14582.53,1616777100
399106.SZ,娣辫瘉缁兼寚,2008/8/18,698.23,698.84,655.62,656.08,15370.83,1883676800
399106.SZ,娣辫瘉缁兼寚,2008/8/19,647.69,666.18,643.07,665.22,12966.14,1596504800
399106.SZ,娣辫瘉缁兼寚,2008/8/20,661.9,713.72,655.97,712.82,26368.49,3185405000
399106.SZ,娣辫瘉缁兼寚,2008/8/21,704.79,715.67,687.92,688.95,24797.94,2846370400
399106.SZ,娣辫瘉缁兼寚,2008/8/22,684.36,686.3,663.41,676.76,16302.12,1914556000
399106.SZ,娣辫瘉缁兼寚,2008/8/25,676.58,683.98,667.65,673.45,12785.88,1499466000
399106.SZ,娣辫瘉缁兼寚,2008/8/26,667.1,667.1,638.49,646.47,14892.99,1858968200
399106.SZ,娣辫瘉缁兼寚,2008/8/27,643.96,655.54,631.65,642.82,13732.37,1697649600
399106.SZ,娣辫瘉缁兼寚,2008/8/28,641.98,648.93,638.35,642.31,13663.61,1537057200
399106.SZ,娣辫瘉缁兼寚,2008/8/29,643.82,665.85,643.03,659.18,17736.62,2177051600
399106.SZ,娣辫瘉缁兼寚,2008/9/1,655.1,655.1,634.04,637.51,13595.44,1670175300
399106.SZ,娣辫瘉缁兼寚,2008/9/2,633.98,641.89,627.05,635.49,12057.65,1547783100
399106.SZ,娣辫瘉缁兼寚,2008/9/3,632.71,636.93,618.8,627.5,15400.69,2007676200
399106.SZ,娣辫瘉缁兼寚,2008/9/4,625.5,637.65,623.23,631.8,12272.28,1635036500
399106.SZ,娣辫瘉缁兼寚,2008/9/5,617.13,621.37,607.53,608.18,13412.94,1809825400
399106.SZ,娣辫瘉缁兼寚,2008/9/8,607.94,610.49,581.4,583.28,12356.82,1753374800
399106.SZ,娣辫瘉缁兼寚,2008/9/9,584.33,589.85,578,585.53,10076.19,1411064800
399106.SZ,娣辫瘉缁兼寚,2008/9/10,583.1,597.62,576.36,588.31,12241.78,1629696900
399106.SZ,娣辫瘉缁兼寚,2008/9/11,586.58,590.08,573.45,575.32,11040.72,1537953500
399106.SZ,娣辫瘉缁兼寚,2008/9/12,574.42,584.69,574.42,578.76,9580.96,1355209700
399106.SZ,娣辫瘉缁兼寚,2008/9/16,577.47,578.92,566.08,570.74,13593.6,1952344800
399106.SZ,娣辫瘉缁兼寚,2008/9/17,569.1,575.04,558.62,559.95,12554.68,1822120600
399106.SZ,娣辫瘉缁兼寚,2008/9/18,549.88,556.8,522.89,547.09,17764.9,2701267200
399106.SZ,娣辫瘉缁兼寚,2008/9/19,590.87,595.75,586.34,595.72,23859.99,3128698800
399106.SZ,娣辫瘉缁兼寚,2008/9/22,629.61,643.29,599.21,618.34,46549.44,6026316400
399106.SZ,娣辫瘉缁兼寚,2008/9/23,598.91,600.7,584.1,584.26,26989.57,3421764400
399106.SZ,娣辫瘉缁兼寚,2008/9/24,572.54,589.26,567.83,589.26,18550.8,2419836400
399106.SZ,娣辫瘉缁兼寚,2008/9/25,590.39,612.83,589.68,607.79,32557.95,4158026400
399106.SZ,娣辫瘉缁兼寚,2008/9/26,609.78,617.92,601.43,614.04,26607.89,3478320800
399106.SZ,娣辫瘉缁兼寚,2008/10/6,603.75,603.75,590.05,590.91,21930.68,2783786200
399106.SZ,娣辫瘉缁兼寚,2008/10/7,572.77,592.34,566.01,586.11,17895.28,2377175600
399106.SZ,娣辫瘉缁兼寚,2008/10/8,573.53,580.35,566.55,570.65,15291.65,2120343800
399106.SZ,娣辫瘉缁兼寚,2008/10/9,579.92,581.96,562.54,562.61,15861.06,2155908400
399106.SZ,娣辫瘉缁兼寚,2008/10/10,543.88,543.88,529.7,531.43,15628.23,2305659600
399106.SZ,娣辫瘉缁兼寚,2008/10/13,526.45,541.32,508.9,541.32,15689.91,2332282200
399106.SZ,娣辫瘉缁兼寚,2008/10/14,556.39,559.13,529.62,529.62,20902.71,3076819400
399106.SZ,娣辫瘉缁兼寚,2008/10/15,524.84,528.74,519.11,524.7,12767.54,2003763000
399106.SZ,娣辫瘉缁兼寚,2008/10/16,507.42,512.22,500.06,500.3,16169.94,2657108600
399106.SZ,娣辫瘉缁兼寚,2008/10/17,503.41,506.97,496.03,504.52,12052.03,1992891800
399106.SZ,娣辫瘉缁兼寚,2008/10/20,504.52,521.67,498.05,520.38,14387.39,2342351400
399106.SZ,娣辫瘉缁兼寚,2008/10/21,521.58,530.15,517.72,519.13,17863.98,2854832000
399106.SZ,娣辫瘉缁兼寚,2008/10/22,513.43,522.39,510.46,510.66,13487.8,2265738800
399106.SZ,娣辫瘉缁兼寚,2008/10/23,504.16,514.82,500.58,514.56,13496.57,2189682000
399106.SZ,娣辫瘉缁兼寚,2008/10/24,514.17,517.4,501.52,505.82,12560.8,2014919400
399106.SZ,娣辫瘉缁兼寚,2008/10/27,498.08,498.08,472.39,472.98,14972.7,2551643800
399106.SZ,娣辫瘉缁兼寚,2008/10/28,464.25,485.58,462.1,483.27,16820.09,2886170600
399106.SZ,娣辫瘉缁兼寚,2008/10/29,488.84,489.95,472.24,472.36,14634.24,2559174400
399106.SZ,娣辫瘉缁兼寚,2008/10/30,474.63,484.36,469.52,477.77,13941.61,2409041200
399106.SZ,娣辫瘉缁兼寚,2008/10/31,476.8,479.1,468.68,470.91,10076.26,1816564800
399106.SZ,娣辫瘉缁兼寚,2008/11/3,468.11,473.29,464.7,466.05,8974.57,1632787500
399106.SZ,娣辫瘉缁兼寚,2008/11/4,464.85,464.85,452.33,456.97,9980.67,1846510800
399106.SZ,娣辫瘉缁兼寚,2008/11/5,459.26,475.11,459.26,470.86,13787.66,2523166600
399106.SZ,娣辫瘉缁兼寚,2008/11/6,461.99,465.38,458.49,463.01,10542.89,2022266800
399106.SZ,娣辫瘉缁兼寚,2008/11/7,456.73,469.75,454.4,467.35,11598.95,2158990000
399106.SZ,娣辫瘉缁兼寚,2008/11/10,473.86,497.61,473.86,497.35,21769.33,3981362000
399106.SZ,娣辫瘉缁兼寚,2008/11/11,497.5,505.55,492.3,494.54,26479.13,4563180800
399106.SZ,娣辫瘉缁兼寚,2008/11/12,489.82,501.81,488.04,501.76,19427.93,3353897400
399106.SZ,娣辫瘉缁兼寚,2008/11/13,496.92,526.84,495.48,522.58,34851.38,5844825600
399106.SZ,娣辫瘉缁兼寚,2008/11/14,526.99,545.34,522.91,545.34,40095.71,6628766800
399106.SZ,娣辫瘉缁兼寚,2008/11/17,544.5,563.61,540.78,563.61,41674.66,6680680800
399106.SZ,娣辫瘉缁兼寚,2008/11/18,560.41,565.73,523.13,524.98,43560.34,7168088000
399106.SZ,娣辫瘉缁兼寚,2008/11/19,522.25,558.59,522.25,557.31,36608.73,6042750800
399106.SZ,娣辫瘉缁兼寚,2008/11/20,549.12,569.13,544.74,556.73,41374.91,6748476000
399106.SZ,娣辫瘉缁兼寚,2008/11/21,541.63,564.53,529.05,552.46,37665.17,6131889600
399106.SZ,娣辫瘉缁兼寚,2008/11/24,551.6,555.7,532.69,532.82,24613.61,3986763600
399106.SZ,娣辫瘉缁兼寚,2008/11/25,539.62,543.9,521.71,531.6,19997.05,3228267800
399106.SZ,娣辫瘉缁兼寚,2008/11/26,531.34,540.8,526.74,535.01,17427.24,2857979400
399106.SZ,娣辫瘉缁兼寚,2008/11/27,567,568.85,544,544.06,38600.28,6077403600
399106.SZ,娣辫瘉缁兼寚,2008/11/28,538.98,545.88,535.21,539.37,22560.91,3640422000
399106.SZ,娣辫瘉缁兼寚,2008/12/1,537.35,554.61,533.09,554.61,26260.58,4265463600
399106.SZ,娣辫瘉缁兼寚,2008/12/2,543.96,567.74,541.55,562.47,36115.4,5832875200
399106.SZ,娣辫瘉缁兼寚,2008/12/3,565.83,584.43,565.83,584.42,43780.02,6804084000
399106.SZ,娣辫瘉缁兼寚,2008/12/4,590.09,607.11,587.15,587.43,57119.06,8619967200
399106.SZ,娣辫瘉缁兼寚,2008/12/5,584.27,601.09,583.27,600.71,40706.64,6150715600
399106.SZ,娣辫瘉缁兼寚,2008/12/8,608,622.9,607,622.9,53442.8,7940454400
399106.SZ,娣辫瘉缁兼寚,2008/12/9,625.21,625.81,607.89,610.19,47204.9,6933500800
399106.SZ,娣辫瘉缁兼寚,2008/12/10,606.2,624.76,601.86,624.33,40968.16,6075328400
399106.SZ,娣辫瘉缁兼寚,2008/12/11,623.71,628.38,608.58,608.8,40009.33,5871834400
399106.SZ,娣辫瘉缁兼寚,2008/12/12,603.99,606.46,577.12,584.74,34501.85,5268247200
399106.SZ,娣辫瘉缁兼寚,2008/12/15,591.76,596.28,579.14,590.36,26745.01,4018111200
399106.SZ,娣辫瘉缁兼寚,2008/12/16,586.94,601.76,576.37,601.76,26998.15,4106630000
399106.SZ,娣辫瘉缁兼寚,2008/12/17,603.06,615.15,601.93,607.39,34445.97,5039520000
399106.SZ,娣辫瘉缁兼寚,2008/12/18,607.75,617.65,602.21,617.27,32375.2,4854392800
399106.SZ,娣辫瘉缁兼寚,2008/12/19,616.98,627.88,615.67,622.9,37362.24,5437981600
399106.SZ,娣辫瘉缁兼寚,2008/12/22,622.96,626.84,612.4,621.8,35587.97,5084279600
399106.SZ,娣辫瘉缁兼寚,2008/12/23,622.82,622.82,587.09,587.21,39142.17,5749002400
399106.SZ,娣辫瘉缁兼寚,2008/12/24,579.2,583.77,570.02,575.07,25676.61,3995018000
399106.SZ,娣辫瘉缁兼寚,2008/12/25,576.41,581.75,565.14,572.99,22663.05,3454003200
399106.SZ,娣辫瘉缁兼寚,2008/12/26,571.02,576.02,566.35,569.38,22338.3,2990763800
399106.SZ,娣辫瘉缁兼寚,2008/12/29,565.15,567.45,550.5,565.17,18903.13,2744435800
399106.SZ,娣辫瘉缁兼寚,2008/12/30,564.16,567.74,556.59,560.42,20804.01,2927805800
399106.SZ,娣辫瘉缁兼寚,2008/12/31,560.17,562.48,552.4,553.3,20530.02,2975640200
399106.SZ,娣辫瘉缁兼寚,2009/1/5,560.1,571.13,557.69,571.13,24574.46,3410975600
399106.SZ,娣辫瘉缁兼寚,2009/1/6,569.28,587.68,566.72,586.33,36203.71,4925388800
399106.SZ,娣辫瘉缁兼寚,2009/1/7,585.5,590.66,582.34,584.71,33678.28,4618436800
399106.SZ,娣辫瘉缁兼寚,2009/1/8,573.94,577.83,567.62,573.09,32552.62,4046703200
399106.SZ,娣辫瘉缁兼寚,2009/1/9,572.26,586.66,572.26,585.85,31514.93,3981107600
399106.SZ,娣辫瘉缁兼寚,2009/1/12,584.46,596.65,583.09,588.72,35392.65,4678428000
399106.SZ,娣辫瘉缁兼寚,2009/1/13,581.69,584.93,571.37,571.62,31063.67,4202038000
399106.SZ,娣辫瘉缁兼寚,2009/1/14,570.2,594.02,570.2,594.02,33006.11,4413910800
399106.SZ,娣辫瘉缁兼寚,2009/1/15,589.19,603.12,587.41,595.87,41664.22,5725843200
399106.SZ,娣辫瘉缁兼寚,2009/1/16,598.54,609.45,598.54,600.69,46289.62,6267352800
399106.SZ,娣辫瘉缁兼寚,2009/1/19,603.82,608.54,594.93,601.25,36646.99,4841350800
399106.SZ,娣辫瘉缁兼寚,2009/1/20,599.89,606.81,596.23,606.81,28140.84,3888203200
399106.SZ,娣辫瘉缁兼寚,2009/1/21,599.61,610.82,597.07,604.57,36417.74,4731524400
399106.SZ,娣辫瘉缁兼寚,2009/1/22,607.35,613.52,603.9,613.16,35494.45,4734002000
399106.SZ,娣辫瘉缁兼寚,2009/1/23,612.14,616.48,608.18,610.27,32342.49,4438000400
399106.SZ,娣辫瘉缁兼寚,2009/2/2,615.26,623.01,611.83,623.01,33130.65,4660300000
399106.SZ,娣辫瘉缁兼寚,2009/2/3,623.29,639.05,621.29,639.05,51138.08,7129655200
399106.SZ,娣辫瘉缁兼寚,2009/2/4,642.02,652.98,641.35,652.98,56187.82,7697345600
399106.SZ,娣辫瘉缁兼寚,2009/2/5,652.65,660.68,639.39,644.66,64987.05,8636240000
399106.SZ,娣辫瘉缁兼寚,2009/2/6,646.19,673.08,646.19,672.81,65884.7,8615330400
399106.SZ,娣辫瘉缁兼寚,2009/2/9,682.48,698.68,677.39,696.33,81380,10283272800
399106.SZ,娣辫瘉缁兼寚,2009/2/10,694.46,714.67,685.86,714.67,75634.37,9470784800
399106.SZ,娣辫瘉缁兼寚,2009/2/11,703.44,733.5,699.34,716.4,92379.4,11046361600
399106.SZ,娣辫瘉缁兼寚,2009/2/12,717.54,723.12,694.36,723.12,75664.35,9257944000
399106.SZ,娣辫瘉缁兼寚,2009/2/13,724.16,750.28,722.74,749.31,86672.55,10397996800
399106.SZ,娣辫瘉缁兼寚,2009/2/16,756.18,763.3,744.02,763.3,91499.39,10711400800
399106.SZ,娣辫瘉缁兼寚,2009/2/17,762.42,763.19,736.79,736.97,84692.59,9910094400
399106.SZ,娣辫瘉缁兼寚,2009/2/18,721.83,735.89,706.62,707.03,69936.98,8193269600
399106.SZ,娣辫瘉缁兼寚,2009/2/19,712.88,725.49,707.39,722.09,58526.28,6852973600
399106.SZ,娣辫瘉缁兼寚,2009/2/20,724.25,744.07,718.62,744.07,61377.7,7003555200
399106.SZ,娣辫瘉缁兼寚,2009/2/23,743.48,769.85,739.11,767.44,73321.42,8476959200
399106.SZ,娣辫瘉缁兼寚,2009/2/24,759.7,771.99,734.98,737.93,87666.82,10148328000
399106.SZ,娣辫瘉缁兼寚,2009/2/25,743.95,749.32,713.14,734.88,73356.39,8296135200
399106.SZ,娣辫瘉缁兼寚,2009/2/26,734.07,743.95,680.2,689.92,67111.41,7900288000
399106.SZ,娣辫瘉缁兼寚,2009/2/27,679.11,682.78,650.73,659.07,50658.3,6470814800
399106.SZ,娣辫瘉缁兼寚,2009/3/2,649.96,675.73,648.59,672.85,39460.55,4875150800
399106.SZ,娣辫瘉缁兼寚,2009/3/3,657.16,681.34,652.43,673.85,44638.74,5416811600
399106.SZ,娣辫瘉缁兼寚,2009/3/4,676.28,716.69,676.28,715.48,63768.36,7429499200
